"threshold","auc","recall_bad","specificity_good","precision_bad","accuracy","false_positives","false_negatives","youden_j"
0.1,0.771793154761907,0.945833333333333,0.323214285714286,0.374587458745875,0.51,379,13,0.269047619047619
0.15,0.771793154761907,0.8875,0.482142857142857,0.423459244532803,0.60375,290,27,0.369642857142857
0.2,0.771793154761907,0.8625,0.564285714285714,0.458980044345898,0.65375,244,33,0.426785714285714
0.25,0.771793154761907,0.8,0.623214285714286,0.476426799007444,0.67625,211,48,0.423214285714286
0.3,0.771793154761907,0.7375,0.669642857142857,0.488950276243094,0.69,185,63,0.407142857142857
0.35,0.771793154761907,0.679166666666667,0.721428571428571,0.510971786833856,0.70875,156,77,0.400595238095238
0.4,0.771793154761907,0.6,0.776785714285714,0.535315985130111,0.72375,125,96,0.376785714285714
0.45,0.771793154761907,0.529166666666667,0.832142857142857,0.574660633484163,0.74125,94,113,0.361309523809524
0.5,0.771793154761907,0.429166666666667,0.876785714285714,0.598837209302326,0.7425,69,137,0.305952380952381
0.55,0.771793154761907,0.316666666666667,0.919642857142857,0.628099173553719,0.73875,45,164,0.236309523809524
0.6,0.771793154761907,0.233333333333333,0.942857142857143,0.636363636363636,0.73,32,184,0.176190476190476
0.65,0.771793154761907,0.166666666666667,0.967857142857143,0.689655172413793,0.7275,18,200,0.134523809523809
0.7,0.771793154761907,0.120833333333333,0.982142857142857,0.743589743589744,0.72375,10,211,0.10297619047619
0.75,0.771793154761907,0.0916666666666667,0.989285714285714,0.785714285714286,0.72,6,218,0.0809523809523809
0.8,0.771793154761907,0.0375,0.996428571428571,0.818181818181818,0.70875,2,231,0.0339285714285715
0.85,0.771793154761907,0.00416666666666667,1,1,0.70125,0,239,0.00416666666666665
0.9,0.771793154761907,0,1,NA,0.7,0,240,0
