"threshold","auc","recall_bad","specificity_good","precision_bad","accuracy","false_positives","false_negatives","youden_j"
0.1,0.768556547619048,0.983333333333333,0.157142857142857,0.333333333333333,0.405,472,4,0.14047619047619
0.15,0.768556547619048,0.954166666666667,0.2625,0.356697819314642,0.47,413,11,0.216666666666667
0.2,0.768556547619048,0.908333333333333,0.357142857142857,0.377162629757785,0.5225,360,22,0.26547619047619
0.25,0.768556547619048,0.879166666666667,0.419642857142857,0.39365671641791,0.5575,325,29,0.298809523809524
0.3,0.768556547619048,0.854166666666667,0.496428571428571,0.420944558521561,0.60375,282,35,0.350595238095238
0.35,0.768556547619048,0.8375,0.55,0.443708609271523,0.63625,252,39,0.3875
0.4,0.768556547619048,0.766666666666667,0.608928571428571,0.456575682382134,0.65625,219,56,0.375595238095238
0.45,0.768556547619048,0.704166666666667,0.682142857142857,0.487031700288184,0.68875,178,71,0.386309523809524
0.5,0.768556547619048,0.645833333333333,0.753571428571429,0.52901023890785,0.72125,138,85,0.399404761904762
0.55,0.768556547619048,0.591666666666667,0.808928571428571,0.570281124497992,0.74375,107,98,0.400595238095238
0.6,0.768556547619048,0.5125,0.851785714285714,0.597087378640777,0.75,83,117,0.364285714285714
0.65,0.768556547619048,0.4375,0.8875,0.625,0.7525,63,135,0.325
0.7,0.768556547619048,0.35,0.921428571428571,0.65625,0.75,44,156,0.271428571428571
0.75,0.768556547619048,0.241666666666667,0.95,0.674418604651163,0.7375,28,182,0.191666666666667
0.8,0.768556547619048,0.1625,0.973214285714286,0.722222222222222,0.73,15,201,0.135714285714286
0.85,0.768556547619048,0.1,0.985714285714286,0.75,0.72,8,216,0.0857142857142859
0.9,0.768556547619048,0.0375,0.994642857142857,0.75,0.7075,3,231,0.0321428571428573
